SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,FaceID,FaceImg,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFaceID,StudyFaceImg,StudyFamCond,StudyTime,TestTrialNum,TestFaceID,TestFaceImg,TestFamCond,TestStatusCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_1_numT,Distractor_1_acc,Distractor_2_duration,Distractor_2_numT,Distractor_2_acc,StudyButtonRespTime,StudyButtonRespTime_mean,q1,q2,q3,
zn4tgce594,ooa3gqz4hq,Mon Jan 04 2021 08:10:00 GMT-0500 (Eastern Standard Time),2021-1-4,8:10:0,1,37,1,JULIE,JULIE,true,4728.970000054687,1,6,4,0,4000,1,20,2,1,1,0,5268.924999982119,8:42:51,142374.5900001377,28,100,117888.19999992847,53,72,1626.0850001126528,2095.797499991022,No,none,That was hard but very fun!,
zn4tgce594,undefined,undefined,undefined,undefined,2,13,1,CHRIS,CHRIS,true,2987.9600000567734,2,19,4,0,4000,2,27,2,0,1,4,7001.1849999427795,undefined,153422.480000183,23,78,121713.25999964029,undefined,undefined,3979.9200003035367,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,3,22,1,SARAH,SARAH,true,7006.000000052154,3,23,4,1,4000,3,33,2,0,1,1,3145.2249996364117,undefined,294539.2100000754,undefined,undefined,undefined,undefined,undefined,1075.539999641478,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,4,16,1,RYAN,RYAN,true,5725.085000041872,4,24,4,1,4000,4,17,2,1,0,5,1714.1649997793138,undefined,123563.34999995306,undefined,undefined,undefined,undefined,undefined,1701.6449999064207,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,5,28,1,LAUREN,LAUREN,true,5486.864999867976,5,21,4,0,4000,5,22,2,1,0,5,1282.5349997729063,undefined,276985.8050001785,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,6,23,1,EVELYN,EVELYN,true,4109.699999913573,6,10,4,0,4000,6,29,2,1,0,5,1616.7450002394617,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,7,29,1,DENISE,DENISE,true,6875.525000039488,7,29,4,1,4000,7,36,2,0,0,4,3681.9800003431737,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,8,26,1,EMILY,EMILY,true,10382.09499977529,8,1,4,1,4000,8,19,2,0,0,4,3905.6049999780953,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,9,11,1,ROBERT,ROBERT,true,6333.649999927729,9,30,4,0,4000,9,18,2,0,1,4,2329.429999925196,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,10,3,1,KYLE,KYLE,true,7246.815000195056,10,12,4,0,4000,10,28,2,1,1,3,5889.994999859482,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,11,40,1,ASHLEY,ASHLEY,true,10590.484999585897,11,16,4,1,4000,11,6,2,0,0,4,3457.025000359863,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,12,35,1,FRANCES,FRANCES,true,10379.375000018626,12,9,4,1,4000,12,8,2,0,0,4,4994.059999939054,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,13,4,1,CARTER,CARTER,true,6991.549999918789,13,31,4,0,4000,13,15,2,1,1,1,4201.969999819994,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,14,24,1,NATALIE,NATALIE,true,6398.579999804497,14,36,4,0,4000,14,16,2,1,0,4,2841.5300003252923,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,15,15,1,TYLER,TYLER,true,7099.419999867678,15,11,4,1,4000,15,26,2,1,1,3,4233.215000014752,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,16,39,1,CHLOE,CHLOE,true,7180.02500012517,16,17,4,1,4000,16,9,2,1,0,5,3947.1849999390543,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,17,17,1,WAYNE,WAYNE,true,5101.250000298023,17,34,4,0,4000,17,2,2,0,1,5,2578.0250001698732,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,18,20,1,MICHAEL,MICHAEL,true,8925.524999853224,18,8,4,0,4000,18,12,2,0,0,5,2449.1949998773634,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,19,9,1,LARRY,LARRY,true,7245.7249998115,19,22,4,1,4000,19,35,2,1,1,2,9451.140000019222,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zn4tgce594,undefined,undefined,undefined,undefined,20,1,1,ALLEN,ALLEN,true,16237.50999988988,20,37,4,1,4000,20,32,2,0,1,5,3241.70000012964,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
