SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,FaceID,FaceImg,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFaceID,StudyFaceImg,StudyFamCond,StudyTime,TestTrialNum,TestFaceID,TestFaceImg,TestFamCond,TestStatusCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_1_numT,Distractor_1_acc,Distractor_2_duration,Distractor_2_numT,Distractor_2_acc,StudyButtonRespTime,StudyButtonRespTime_mean,q1,q2,q3,
bnva8oohrm,c5kca7qjq2,Mon Jan 04 2021 12:40:23 GMT-0600 (Central Standard Time),2021-1-4,12:40:23,1,40,5,AMBER,AMBER,true,2238.8150000479072,1,39,3,1,4000,1,22,1,0,0,4,5670.154999941587,13:6:37,147237.17999993823,32,94,116951.00999996066,49,71,2683.3250001072884,2400.595000013709,No,NA - I didn't recognize any of them.,,
bnva8oohrm,undefined,undefined,undefined,undefined,2,6,5,ANDREW,ANDREW,true,2758.0949999392033,2,4,3,1,4000,2,36,1,1,0,2,5848.509999923408,undefined,150225.37499992177,23,70,120986.71499988995,undefined,undefined,3475.354999769479,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,3,34,5,DIANA,DIANA,true,2051.994999870658,3,1,3,0,4000,3,29,1,1,0,5,4793.06499985978,undefined,303289.1899999231,undefined,undefined,undefined,undefined,undefined,1408.7700000964105,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,4,28,5,EMILY,EMILY,true,2172.169999917969,4,22,3,0,4000,4,1,1,0,0,3,2994.270000141114,undefined,153063.93499998376,undefined,undefined,undefined,undefined,undefined,2034.9300000816584,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,5,19,5,RYAN,RYAN,true,1797.7899999823421,5,14,3,1,4000,5,39,1,1,0,4,2785.9800001606345,undefined,303289.2799999099,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,6,36,5,ROSE,ROSE,true,1722.9950001928955,6,36,3,1,4000,6,18,1,0,0,2,1994.684999808669,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,7,39,5,JULIE,JULIE,true,2342.675000196323,7,26,3,0,4000,7,24,1,0,1,1,3804.4600000139326,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,8,7,5,TYLER,TYLER,true,2121.5099999681115,8,18,3,0,4000,8,16,1,0,0,4,4273.889999836683,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,9,8,5,KEVIN,KEVIN,true,1542.8299999330193,9,7,3,1,4000,9,7,1,1,0,5,1537.270000204444,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,10,13,5,BRANDON,BRANDON,true,1682.8900000546128,10,32,3,1,4000,10,13,1,1,1,2,3604.2549998965114,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,11,32,5,CHLOE,CHLOE,true,1659.1700001154095,11,12,3,0,4000,11,27,1,0,1,2,2544.2800000309944,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,12,11,5,CHRIS,CHRIS,true,2031.5050000790507,12,20,3,0,4000,12,6,1,1,1,2,1607.8749999869615,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,13,5,5,JOHN,JOHN,true,1383.2099998835474,13,35,3,1,4000,13,15,1,0,1,2,3276.425000047311,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,14,14,5,KYLE,KYLE,true,1224.4949999731034,14,21,3,0,4000,14,11,1,1,1,2,4941.085000056773,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,15,23,5,JESSICA,JESSICA,true,1915.5850000679493,15,33,3,0,4000,15,31,1,1,1,2,4859.389999881387,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,16,31,5,JANE,JANE,true,1216.275000013411,16,5,3,1,4000,16,20,1,0,0,1,2917.1200001146644,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,17,10,5,LOGAN,LOGAN,true,1309.6950000617653,17,29,3,1,4000,17,3,1,0,1,1,1985.7149999588728,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,18,4,5,NICK,NICK,true,1068.6250000726432,18,37,3,0,4000,18,30,1,0,1,0,2128.8350000977516,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,19,29,5,AMANDA,AMANDA,true,1493.175000185147,19,16,3,0,4000,19,34,1,1,1,2,5344.210000010207,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,20,35,5,LAUREN,LAUREN,true,1550.054999999702,20,19,3,1,4000,20,5,1,1,0,5,1876.79999996908,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,21,40,6,AMBER,AMBER,true,4392.310000024736,undefined,undefined,undefined,undefined,undefined,21,17,1,0,1,2,2198.050000006333,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bnva8oohrm,undefined,undefined,undefined,undefined,22,6,6,ANDREW,ANDREW,true,2450.3599999006838,undefined,undefined,undefined,undefined,undefined,22,12,1,0,0,1,2218.5450000688434,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
