subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
snp,VDACtest,5,r,true,569.1000001430511,2,r,v,3,,,
snp,VDACtest,6,r,true,591.4000000953674,2,r,h,0,,,
snp,VDACtest,7,r,true,616.4000000953674,1,g,h,0,,,
snp,VDACtest,8,r,true,777.2999999523163,1,g,v,2,,,
snp,VDACtest,9,r,true,486.09999990463257,1,g,v,0,,,
snp,VDACtest,10,r,true,469.7999999523163,1,g,v,0,,,
snp,VDACtest,11,r,true,528.2999999523163,1,g,v,2,,,
snp,VDACtest,12,r,true,497.5,1,g,v,3,,,
snp,VDACtest,13,r,true,664.5999999046326,1,g,v,4,,,
snp,VDACtest,14,r,true,417.2999999523163,1,g,v,0,,,
snp,VDACtest,15,r,true,591.5,2,r,v,4,,,
snp,VDACtest,16,r,true,615.4000000953674,1,g,h,5,,,
snp,VDACtest,17,r,true,584.2000000476837,1,g,h,0,,,
snp,VDACtest,18,r,true,527.5,1,g,h,3,,,
snp,VDACtest,19,r,true,617.3999998569489,2,r,v,0,,,
snp,VDACtest,20,r,true,503.7999999523163,2,r,h,0,,,
snp,VDACtest,21,r,true,785.4000000953674,2,r,v,1,,,
snp,VDACtest,22,r,true,504.5,2,r,v,5,,,
snp,VDACtest,23,r,true,615.6000001430511,2,r,h,2,,,
snp,VDACtest,24,r,true,519.4000000953674,2,r,h,5,,,
snp,VDACtest,25,r,true,729,2,r,h,4,,,
snp,VDACtest,26,r,true,511.90000009536743,2,r,v,5,,,
snp,VDACtest,27,r,true,704,2,r,v,3,,,
snp,VDACtest,28,r,true,640,1,g,h,4,,,
snp,VDACtest,29,r,true,655.5,2,r,v,4,,,
snp,VDACtest,30,r,true,848.5,2,r,v,0,,,
snp,VDACtest,31,r,null,null,2,r,v,1,,,
snp,VDACtest,32,r,true,555,2,r,h,0,,,
snp,VDACtest,33,r,true,553.6000001430511,1,g,h,1,,,
snp,VDACtest,34,r,true,719.2999999523163,2,r,h,2,,,
snp,VDACtest,35,r,true,631.7999999523163,1,g,h,4,,,
snp,VDACtest,36,r,true,464.5,1,g,h,0,,,
snp,VDACtest,37,r,true,432.2000000476837,1,g,h,3,,,
snp,VDACtest,38,r,true,533.5,2,r,h,4,,,
snp,VDACtest,39,r,true,479.60000014305115,1,g,h,0,,,
snp,VDACtest,40,r,true,528.8999998569489,1,g,v,5,,,
snp,VDACtest,41,r,true,590.5,1,g,v,2,,,
snp,VDACtest,42,r,true,806.7999999523163,2,r,h,1,,,
snp,VDACtest,43,r,true,632.9000000953674,2,r,h,3,,,
snp,VDACtest,44,r,true,558.4000000953674,1,g,v,1,,,
snp,VDACtest,45,r,true,616.0999999046326,1,g,h,5,,,
snp,VDACtest,46,r,true,719.6000001430511,2,r,h,1,,,
snp,VDACtest,47,r,true,464.80000019073486,1,g,v,5,,,
snp,VDACtest,48,r,true,558.5,1,g,h,5,,,
snp,VDACtest,49,r,true,576.5999999046326,1,g,h,2,,,
snp,VDACtest,50,r,true,638.6000001430511,2,r,h,3,,,
