subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
o7b,VDACtrain,0,g,null,null,1,r,h,1,,,
o7b,VDACtrain,0,g,false,352.80000019073486,1,r,v,3,,,
o7b,VDACtrain,0,g,false,242,2,g,v,2,,,
o7b,VDACtrain,0,g,true,681.2999997138977,2,g,h,3,,,
o7b,VDACtrain,0,g,false,560.7000002861023,1,r,h,2,,,
o7b,VDACtrain,0,g,false,537.7999997138977,2,g,v,5,,,
o7b,VDACtrain,0,g,null,null,1,r,h,0,,,
o7b,VDACtrain,0,g,null,null,1,r,v,4,,,
o7b,VDACtrain,0,g,null,null,2,g,v,0,,,
o7b,VDACtrain,0,g,false,583.1999998092651,2,g,h,5,,,
o7b,VDACtrain,0,g,false,781.0999999046326,1,r,v,3,,,
o7b,VDACtrain,0,g,false,938.0999999046326,2,g,v,0,,,
o7b,VDACtrain,0,g,true,882.5,2,g,h,5,,,
o7b,VDACtrain,0,g,null,null,1,r,h,0,,,
o7b,VDACtrain,0,g,false,788,2,g,h,3,,,
o7b,VDACtrain,0,g,null,null,2,g,v,2,,,
o7b,VDACtrain,0,g,true,900.5999999046326,1,r,h,1,,,
o7b,VDACtrain,0,g,true,784.9000000953674,1,r,v,4,,,
o7b,VDACtrain,0,g,true,763.5,2,g,v,5,,,
o7b,VDACtrain,0,g,false,994.7000002861023,1,r,h,2,,,
o7b,VDACtest,1,g,false,815.0999999046326,1,r,v,1,,,
o7b,VDACtest,2,g,true,914.5,2,g,v,3,,,
o7b,VDACtest,3,g,null,null,2,g,v,1,,,
o7b,VDACtest,4,g,true,971.5,1,r,v,1,,,
o7b,VDACtest,5,g,true,755.6000003814697,2,g,v,1,,,
o7b,VDACtest,6,g,false,930.4000000953674,2,g,h,3,,,
o7b,VDACtest,7,g,false,955.5,2,g,v,5,,,
o7b,VDACtest,8,g,null,null,2,g,h,1,,,
o7b,VDACtest,9,g,true,883.7999997138977,1,r,v,4,,,
o7b,VDACtest,10,g,true,962.9000000953674,1,r,v,0,,,
o7b,VDACtest,11,g,true,866.7999997138977,1,r,v,3,,,
o7b,VDACtest,12,g,true,714.0999999046326,1,r,v,4,,,
o7b,VDACtest,13,g,true,761.5,1,r,h,2,,,
o7b,VDACtest,14,g,true,985.0999999046326,2,g,v,0,,,
o7b,VDACtest,15,g,false,722.4000000953674,2,g,h,0,,,
o7b,VDACtest,16,g,false,947.3000001907349,2,g,h,5,,,
o7b,VDACtest,17,g,null,null,1,r,h,4,,,
o7b,VDACtest,18,g,true,706.8000001907349,1,r,v,3,,,
o7b,VDACtest,19,g,null,null,2,g,h,4,,,
